meal_type,celebrity_slug,title,target_filename,key_ingredients,description
breakfast,lindsey-vonn,"Egg Scramble with Peppers, Mushrooms and Onion",lindsey-vonn__egg-scramble-with-peppers-mushrooms-and-onion.png,Eggs; Bell Pepper; Mushrooms; Yellow Onion; Extra Virgin Olive Oil; Sea Salt,"A satisfying high-protein morning scramble built from three whole eggs sauteed with colorful bell pepper, earthy mushrooms, and yellow onion. This is the exact breakfast documented in Lindsey Vonn's performance nutrition plan and delivers approximately 22 grams of protein to start the day."
breakfast,cristiano-ronaldo,Egg White and Avocado Breakfast Plate,cristiano-ronaldo__egg-white-and-avocado-breakfast-plate.png,Egg Whites; Avocado; Whole Wheat Bread; Extra Virgin Olive Oil; Sea Salt,Egg whites and avocado on whole-wheat toast
breakfast,lindsey-vonn,Egg White and Spinach Scramble with Mushrooms,lindsey-vonn__egg-white-and-spinach-scramble-with-mushrooms.png,Egg Whites; Spinach; Mushrooms; Yellow Onion; Extra Virgin Olive Oil; Sea Salt,"A lean, high-protein breakfast scramble built on egg whites sauteed with yellow onion, earthy mushrooms, and wilted spinach."
breakfast,dwayne-johnson,Egg White Omelette with Vegetables,dwayne-johnson__egg-white-omelette-with-vegetables.png,Egg Whites; Mushrooms; Spinach; Bell Pepper; Extra Virgin Olive Oil,"Egg-white omelette with mushrooms, spinach, and peppers"
breakfast,lindsey-vonn,"Eggs with Broccoli, Bell Pepper, and Onion",lindsey-vonn__eggs-with-broccoli-bell-pepper-and-onion.png,Eggs; Broccoli; Bell Pepper; Yellow Onion; Extra Virgin Olive Oil; Sea Salt,"A whole-egg scramble loaded with broccoli florets, diced bell pepper, and yellow onion for a colorful, vegetable-forward morning plate."
breakfast,gwyneth-paltrow,Grain-Free Granola Bowl,gwyneth-paltrow__grain-free-granola-bowl.png,Almonds; Walnuts; Coconut Flakes; Pumpkin Seeds; Cinnamon; Coconut Yogurt,Grain-free nut granola with coconut yogurt
breakfast,jennifer-aniston,Greek Yogurt Parfait,jennifer-aniston__greek-yogurt-parfait.png,Greek Yogurt; Granola; Blueberries; Strawberries; Honey,Greek yogurt parfait with granola and berries
breakfast,beyonce,Green Power Pancakes,beyonce__green-power-pancakes.png,Rolled Oats; Banana; Spinach; Almond Milk; Ground Flaxseed; Coconut Oil,Oat-banana pancakes blended with spinach and blueberries
breakfast,gwyneth-paltrow,Green Vegetable Frittata,gwyneth-paltrow__green-vegetable-frittata.png,Eggs; Spinach; Zucchini; Leek; Extra Virgin Olive Oil; Thyme,"Frittata with spinach, zucchini, and leek"
breakfast,megan-thee-stallion,Hot Girl Strawberry Banana Protein Smoothie,megan-thee-stallion__hot-girl-strawberry-banana-protein-smoothie.png,Almond Milk; Frozen Banana; Strawberries; Plant Protein Powder; Honey,"A thick, creamy strawberry-banana protein shake blended with almond milk and plant protein powder — the quick pre-workout fuel documented in Megan's routine."
breakfast,ariana-grande,Japanese Rice Porridge with Mushrooms,ariana-grande__japanese-rice-porridge-with-mushrooms.png,White Rice; Vegetable Broth; Shiitake Mushrooms; Sesame Oil; Scallions; Tamari,Rice porridge with shiitake and scallions
breakfast,tabitha-brown,Loaded Avocado and Mushroom Wrap,tabitha-brown__loaded-avocado-and-mushroom-wrap.png,Whole Wheat Tortilla; Avocado; Mushrooms; Tomato; Hemp Seeds; Avocado Oil,Sauteed mushrooms and mashed avocado rolled inside a whole wheat tortilla with sliced tomato and a sprinkle of hemp seeds.
breakfast,ariana-grande,Matcha Chia Pudding,ariana-grande__matcha-chia-pudding.png,Matcha Powder; Almond Milk; Chia Seeds; Maple Syrup; Blueberries; Coconut Flakes,Matcha chia pudding with blueberries and coconut
breakfast,gisele-bundchen,Millet Porridge with Fruit and Seeds,gisele-bundchen__millet-porridge-with-fruit-and-seeds.png,Millet; Coconut Oil; Banana; Mango; Pumpkin Seeds,"Creamy millet porridge stirred with coconut oil and topped with seasonal fruit and seeds for a naturally sweet, plant-forward breakfast."
breakfast,ariana-grande,Miso Oatmeal Bowl,ariana-grande__miso-oatmeal-bowl.png,Rolled Oats; White Miso Paste; Sesame Seeds; Scallions; Sesame Oil,Savory oats with white miso and sesame
breakfast,madelaine-petsch,Overnight Oat Parfait with Berries and Almonds,madelaine-petsch__overnight-oat-parfait-with-berries-and-almonds.png,Rolled Oats; Almond Milk; Almond Butter; Blueberries; Raspberries; Almonds,"Oats soaked overnight in almond milk layered in a glass with almond butter, fresh blueberries and raspberries, and a crunchy finish of crushed almonds."
breakfast,tabitha-brown,Overnight Oats with Banana and Chia,tabitha-brown__overnight-oats-with-banana-and-chia.png,Rolled Oats; Chia Seeds; Oat Milk; Maple Syrup; Cinnamon; Vanilla Extract,"Creamy overnight oats layered with chia seeds, sliced banana, and a drizzle of maple syrup — a no-cook breakfast Tabitha reaches for when mornings are busy but nourishment still matters."
breakfast,beyonce,Overnight Oats with Berries,beyonce__overnight-oats-with-berries.png,Rolled Oats; Chia Seeds; Almond Milk; Maple Syrup; Strawberries; Almond Butter,Overnight oats with chia and strawberries
breakfast,madelaine-petsch,Overnight Oats with Cacao Nibs and Raspberries,madelaine-petsch__overnight-oats-with-cacao-nibs-and-raspberries.png,Rolled Oats; Almond Milk; Chia Seeds; Maple Syrup; Raspberries; Cacao Nibs,Creamy overnight oats soaked in almond milk and topped with cacao nibs and fresh raspberries — Madelaine's go-to morning meal.
breakfast,natalie-portman,Overnight Oats with Walnuts and Banana,natalie-portman__overnight-oats-with-walnuts-and-banana.png,Rolled Oats; Oat Milk; Chia Seeds; Maple Syrup; Banana; Walnuts,Overnight oats with walnuts and banana
breakfast,lebron-james,Power Egg Scramble with Sweet Potato,lebron-james__power-egg-scramble-with-sweet-potato.png,Eggs; Sweet Potato; Spinach; Avocado Oil,Egg scramble with sweet potato and spinach
breakfast,tia-clair-toomey,Protein Oat & Banana Bowl,tia-clair-toomey__protein-oat-banana-bowl.png,Rolled Oats; Whey Protein Powder; Banana; Peanut Butter; Honey; Cinnamon,"Warm rolled oats with a scoop of whey protein stirred in while hot, topped with sliced banana and a spoonful of peanut butter for a steady carb-and-protein combination."
breakfast,cristiano-ronaldo,Protein Oatmeal with Berries,cristiano-ronaldo__protein-oatmeal-with-berries.png,Steel-Cut Oats; Whey Protein Powder; Blueberries; Strawberries; Honey,Protein steel-cut oats with mixed berries
breakfast,dwayne-johnson,Protein Oats with Egg Whites,dwayne-johnson__protein-oats-with-egg-whites.png,Rolled Oats; Egg Whites; Blueberries; Honey,Rolled oats with egg whites and blueberries
breakfast,lebron-james,Protein Pancakes with Berries,lebron-james__protein-pancakes-with-berries.png,Rolled Oats; Egg Whites; Banana; Whey Protein Powder; Blueberries; Maple Syrup,Oat-protein pancakes with banana and blueberries
breakfast,tom-brady,Protein Smoothie Bowl,tom-brady__protein-smoothie-bowl.png,Frozen Banana; Plant Protein Powder; Almond Milk; Granola; Blueberries; Pumpkin Seeds,Plant-protein smoothie bowl with granola
breakfast,beyonce,Quinoa Breakfast Bowl,beyonce__quinoa-breakfast-bowl.png,Quinoa; Almond Milk; Banana; Blueberries; Walnuts; Maple Syrup,"Quinoa with almond milk, banana, and walnuts"
breakfast,gisele-bundchen,Quinoa Breakfast Bowl with Nuts and Fruit,gisele-bundchen__quinoa-breakfast-bowl-with-nuts-and-fruit.png,Quinoa; Banana; Blueberries; Almonds; Walnuts; Chia Seeds,"Warm leftover quinoa topped with a mix of almonds, walnuts, sliced banana, and blueberries for a protein-rich grain bowl alternative to oatmeal."
breakfast,tom-brady,Quinoa Porridge with Seeds,tom-brady__quinoa-porridge-with-seeds.png,Quinoa; Almond Milk; Chia Seeds; Hemp Seeds; Blueberries,Quinoa porridge with chia and hemp seeds
breakfast,joaquin-phoenix,Raw Fruit and Nut Bowl,joaquin-phoenix__raw-fruit-and-nut-bowl.png,Banana; Apple; Pear; Walnuts; Pumpkin Seeds; Agave Nectar,Fresh fruit with walnuts and pumpkin seeds
breakfast,joaquin-phoenix,Raw Oat and Seed Muesli,joaquin-phoenix__raw-oat-and-seed-muesli.png,Rolled Oats; Oat Milk; Apple; Sunflower Seeds; Blueberries,Raw oat muesli with apple and seeds
breakfast,cameron-diaz,"Savory Oat Bowl with Zucchini, Egg Whites, and Lemon",cameron-diaz__savory-oat-bowl-with-zucchini-egg-whites-and-lemon.png,Rolled Oats; Zucchini; Egg Whites; Extra Virgin Olive Oil; Lemon; Sea Salt,"Rolled oats cooked savory-style in water and topped with golden-sauteed zucchini slices, soft-cooked egg whites, and a bright squeeze of fresh lemon."
breakfast,tabitha-brown,Savory Tempeh Scramble on Toast,tabitha-brown__savory-tempeh-scramble-on-toast.png,Tempeh; Mushrooms; Tomato; Whole Wheat Bread; Avocado Oil; Smoked Paprika,"Crumbled tempeh pan-cooked with mushrooms and tomato, served over toasted whole wheat bread for a Southern-inspired vegan breakfast."
breakfast,cameron-diaz,Savory Zucchini and Collard Green Oatmeal,cameron-diaz__savory-zucchini-and-collard-green-oatmeal.png,Rolled Oats; Vegetable Broth; Zucchini; Collard Greens; Egg Whites; Garlic,"Rolled oats cooked in vegetable broth and topped with sauteed zucchini, collard greens, and fluffy egg whites — Cameron's signature savory breakfast."
breakfast,megan-thee-stallion,Scrambled Eggs with Kale and Avocado,megan-thee-stallion__scrambled-eggs-with-kale-and-avocado.png,Eggs; Kale; Avocado; Extra Virgin Olive Oil; Sea Salt; Black Pepper,Soft scrambled eggs folded with wilted kale and served alongside sliced avocado on a single plate.
breakfast,jennifer-aniston,Smoked Salmon and Egg Plate,jennifer-aniston__smoked-salmon-and-egg-plate.png,Eggs; Smoked Salmon; Avocado; Cherry Tomatoes; Extra Virgin Olive Oil,Eggs and smoked salmon with avocado
breakfast,madelaine-petsch,Spinach Berry Smoothie Bowl,madelaine-petsch__spinach-berry-smoothie-bowl.png,Spinach; Frozen Mixed Berries; Frozen Banana; Almond Milk; Rolled Oats; Raspberries,"A thick blended base of spinach, frozen mixed berries, and frozen banana poured into a bowl and topped with rolled oats, fresh raspberries, and cacao nibs."
breakfast,dwayne-johnson,Steak and Eggs Breakfast,dwayne-johnson__steak-and-eggs-breakfast.png,Beef Sirloin; Egg Whites; Ezekiel Bread; Avocado Oil,Pan-seared sirloin with egg whites and avocado
breakfast,lebron-james,Steel-Cut Oats with Nut Butter,lebron-james__steel-cut-oats-with-nut-butter.png,Steel-Cut Oats; Almond Butter; Banana; Honey,Steel-cut oats with almond butter and banana
breakfast,cameron-diaz,Steel-Cut Oats with Roasted Tomato and Collard Greens,cameron-diaz__steel-cut-oats-with-roasted-tomato-and-collard-greens.png,Steel-Cut Oats; Tomato; Collard Greens; Egg Whites; Extra Virgin Olive Oil; Garlic,"Steel-cut oats cooked until chewy and topped with oven-roasted tomato halves, wilted collard greens sauteed in olive oil, and soft-cooked egg whites finished with fresh lemon."
breakfast,megan-thee-stallion,Strawberry Protein Overnight Oat-Free Parfait,megan-thee-stallion__strawberry-protein-overnight-oat-free-parfait.png,Greek Yogurt; Strawberries; Banana; Granola,"Layered Greek yogurt with fresh sliced strawberries and banana coins, crowned with crunchy granola — assembled the night before for a no-cook grab-and-go breakfast."
breakfast,gwyneth-paltrow,Sweet Potato and Kale Hash with Eggs,gwyneth-paltrow__sweet-potato-and-kale-hash-with-eggs.png,Sweet Potato; Kale; Eggs; Avocado Oil; Sea Salt; Black Pepper,Sweet potato and kale hash with eggs
breakfast,ariana-grande,Sweet Potato and Tempeh Breakfast Hash,ariana-grande__sweet-potato-and-tempeh-breakfast-hash.png,Sweet Potato; Tempeh; Coconut Oil; Cumin; Smoked Paprika; Avocado,Spiced sweet potato and tempeh hash with avocado
breakfast,cristiano-ronaldo,Sweet Potato and Turkey Sausage Scramble,cristiano-ronaldo__sweet-potato-and-turkey-sausage-scramble.png,Sweet Potato; Ground Turkey; Egg Whites; Extra Virgin Olive Oil; Paprika,Turkey and egg-white scramble with sweet potato
breakfast,beyonce,Sweet Potato Toast with Avocado,beyonce__sweet-potato-toast-with-avocado.png,Sweet Potato; Avocado; Chili Flakes; Lime; Sea Salt,Sweet potato toast with avocado and lime
breakfast,tom-brady,TB12 Sunrise Bowl,tom-brady__tb12-sunrise-bowl.png,Steel-Cut Oats; Banana; Walnuts; Hemp Seeds; Maple Syrup,"Steel-cut oats with banana, walnuts, and hemp"
breakfast,tia-clair-toomey,"Toasted Bagel with Peanut Butter, Banana & Blueberries",tia-clair-toomey__toasted-bagel-with-peanut-butter-banana-blueberries.png,Bagel; Peanut Butter; Banana; Blueberries,Toasted bagel halves spread with peanut butter and layered with sliced banana and fresh blueberries — a carb-forward pre-workout breakfast for high-output morning schedules.
breakfast,natalie-portman,Tofu Scramble with Vegetables,natalie-portman__tofu-scramble-with-vegetables.png,Tofu; Spinach; Bell Pepper; Tomato; Turmeric; Nutritional Yeast,Turmeric tofu scramble with peppers and spinach
breakfast,jennifer-aniston,Veggie Omelette with Feta,jennifer-aniston__veggie-omelette-with-feta.png,Eggs; Spinach; Tomato; Red Onion; Feta Cheese; Extra Virgin Olive Oil,"Omelette with spinach, tomato, and feta"
breakfast,madelaine-petsch,Warm Spiced Oats with Banana and Almond Butter,madelaine-petsch__warm-spiced-oats-with-banana-and-almond-butter.png,Rolled Oats; Almond Milk; Banana; Almond Butter; Cacao Nibs,"Rolled oats cooked in almond milk with mashed banana stirred in, finished with a swirl of almond butter and topped with sliced banana and cacao nibs."
breakfast,cristiano-ronaldo,Whole Wheat Toast with Eggs and Spinach,cristiano-ronaldo__whole-wheat-toast-with-eggs-and-spinach.png,Eggs; Spinach; Whole Wheat Bread; Extra Virgin Olive Oil; Sea Salt,Eggs and spinach on whole-wheat toast
lunch,madelaine-petsch,Avocado Quinoa Power Salad with Walnuts,madelaine-petsch__avocado-quinoa-power-salad-with-walnuts.png,Quinoa; Avocado; Spinach; Black Beans; Walnuts; Raspberries,"Cooled quinoa tossed with baby spinach, black beans, diced avocado, toasted walnuts, and raspberries for natural sweetness and acidity."
lunch,madelaine-petsch,Black Bean and Broccoli Brown Rice Bowl,madelaine-petsch__black-bean-and-broccoli-brown-rice-bowl.png,Brown Rice; Black Beans; Broccoli; Avocado; Spinach; Smoked Paprika,"Steamed broccoli florets served over cooked brown rice with spiced black beans, raw spinach leaves, and fanned avocado slices."
lunch,beyonce,Black Bean Tacos,beyonce__black-bean-tacos.png,Black Beans; Corn Tortillas; Guacamole; Salsa; Cilantro; Cumin,Black bean tacos with guacamole and salsa
lunch,tom-brady,Bone Broth and Vegetable Bowl,tom-brady__bone-broth-and-vegetable-bowl.png,Bone Broth; Carrot; Celery; Sweet Potato; Kale; Turmeric,Bone broth bowl with root vegetables
lunch,gwyneth-paltrow,Bone Broth and Vegetable Soup,gwyneth-paltrow__bone-broth-and-vegetable-soup.png,Bone Broth; Sweet Potato; Kale; Carrot; Celery; Yellow Onion,Bone broth soup with sweet potato and kale
lunch,gisele-bundchen,Brown Rice Bowl with Grilled Salmon and Mixed Vegetables,gisele-bundchen__brown-rice-bowl-with-grilled-salmon-and-mixed-vegetables.png,Salmon Fillet; Brown Rice; Zucchini; Bell Pepper; Broccoli; Kale,"Pan-seared salmon fillet served over steamed brown rice with sauteed zucchini, bell pepper, and broccoli, with a handful of kale for an omega-3-rich midday bowl."
lunch,tabitha-brown,"Brown Rice, Black Bean, and Greens Bowl",tabitha-brown__brown-rice-black-bean-and-greens-bowl.png,Brown Rice; Black Beans; Spinach; Avocado; Yellow Onion; Garlic,"A nourishing grain bowl of fluffy brown rice and seasoned black beans over a bed of fresh spinach, finished with sliced avocado and a squeeze of lime — simple soul food that fuels the whole day."
lunch,tabitha-brown,Carrot and Avocado Salad Wrap,tabitha-brown__carrot-and-avocado-salad-wrap.png,Whole Wheat Tortilla; Carrot; Avocado; Romaine Lettuce; Hemp Seeds; Lemon,"Ribbon-cut carrots tossed with diced avocado and romaine, wrapped in a whole wheat tortilla and finished with hemp seeds."
lunch,tom-brady,Chicken and Quinoa Salad,tom-brady__chicken-and-quinoa-salad.png,Chicken Breast; Quinoa; Spinach; Cucumber; Extra Virgin Olive Oil; Lemon,Chicken and quinoa salad with spinach
lunch,lebron-james,Chicken Bone Broth Noodle Soup,lebron-james__chicken-bone-broth-noodle-soup.png,Bone Broth; Chicken Breast; Rice Noodles; Carrot; Celery; Garlic,Chicken noodle soup in bone broth
lunch,lindsey-vonn,Chicken Breast and Quinoa Bowl with Broccoli and Bell Pepper,lindsey-vonn__chicken-breast-and-quinoa-bowl-with-broccoli-and-bell-pepper.png,Chicken Breast; Quinoa; Broccoli; Bell Pepper; Extra Virgin Olive Oil; Sea Salt,"A high-protein meal-prep bowl pairing roasted chicken breast with fluffy quinoa, steamed broccoli florets, and diced bell pepper."
lunch,dwayne-johnson,Chicken Breast with Basmati Rice,dwayne-johnson__chicken-breast-with-basmati-rice.png,Chicken Breast; Basmati Rice; Asparagus; Garlic Powder,Chicken breast with basmati rice and asparagus
lunch,cristiano-ronaldo,Chicken Caesar Salad (No Croutons),cristiano-ronaldo__chicken-caesar-salad-no-croutons.png,Chicken Breast; Romaine Lettuce; Parmesan Cheese; Extra Virgin Olive Oil; Lemon,Grilled chicken Caesar without croutons
lunch,tia-clair-toomey,Chicken Mince & Potato Skillet with Fried Egg,tia-clair-toomey__chicken-mince-potato-skillet-with-fried-egg.png,Chicken Breast; Russet Potato; Eggs; Avocado Oil; Garlic; Sea Salt,"Golden diced russet potato cooked until crisp, combined with browned chicken mince and finished with a fried egg on top — a filling, high-protein skillet lunch for afternoon training recovery."
lunch,lindsey-vonn,"Chicken, Asparagus, and Spinach Protein Bowl",lindsey-vonn__chicken-asparagus-and-spinach-protein-bowl.png,Chicken Breast; Asparagus; Spinach; Yellow Onion; Extra Virgin Olive Oil; Garlic,"A low-carb, high-protein lunch bowl of seasoned chicken breast with sauteed asparagus spears, sliced yellow onion, and fresh spinach."
lunch,beyonce,Chickpea and Quinoa Power Salad,beyonce__chickpea-and-quinoa-power-salad.png,Quinoa; Chickpeas; Cucumber; Cherry Tomatoes; Red Onion; Avocado,Quinoa-chickpea salad with avocado and lemon
lunch,natalie-portman,Chickpea and Roasted Veggie Wrap,natalie-portman__chickpea-and-roasted-veggie-wrap.png,Chickpeas; Zucchini; Bell Pepper; Whole Wheat Tortilla; Hummus; Spinach,Chickpea and roasted veggie wrap with hummus
lunch,cameron-diaz,Chickpea and Zucchini Bowl with Lemon Olive Oil,cameron-diaz__chickpea-and-zucchini-bowl-with-lemon-olive-oil.png,Chickpeas; Zucchini; Tomato; Extra Virgin Olive Oil; Lemon; Garlic,"Pan-roasted chickpeas and diced zucchini tossed with ripe tomato, extra virgin olive oil, and fresh lemon, served at room temperature as a hearty grain-free bowl."
lunch,megan-thee-stallion,Cod and Sweet Potato Brown Rice Bowl,megan-thee-stallion__cod-and-sweet-potato-brown-rice-bowl.png,Cod Fillet; Sweet Potato; Brown Rice; Extra Virgin Olive Oil; Lemon; Paprika,"Baked cod fillet served over fluffy brown rice with roasted sweet potato cubes — a lean, filling midday bowl built entirely from whole foods."
lunch,dwayne-johnson,Cod with White Rice and Broccoli,dwayne-johnson__cod-with-white-rice-and-broccoli.png,Cod Fillet; White Rice; Broccoli; Lemon,Baked cod with white rice and broccoli
lunch,ariana-grande,Edamame Avocado Sushi Bowl,ariana-grande__edamame-avocado-sushi-bowl.png,Brown Rice; Edamame; Avocado; Cucumber; Carrot; Nori Sheets,Deconstructed sushi bowl with edamame and avocado
lunch,madelaine-petsch,Green Grain Salad with Quinoa and Black Beans,madelaine-petsch__green-grain-salad-with-quinoa-and-black-beans.png,Quinoa; Black Beans; Mixed Greens; Avocado; Cherry Tomatoes; Lemon,"A hearty grain salad with fluffy quinoa, black beans, mixed greens, avocado, and a bright lemon-olive oil dressing."
lunch,lebron-james,Grilled Chicken and Avocado Wrap,lebron-james__grilled-chicken-and-avocado-wrap.png,Chicken Breast; Whole Wheat Tortilla; Avocado; Spinach; Salsa,Grilled chicken and avocado wrap with spinach
lunch,cristiano-ronaldo,Grilled Chicken and Quinoa Power Bowl,cristiano-ronaldo__grilled-chicken-and-quinoa-power-bowl.png,Chicken Breast; Quinoa; Broccoli; Sweet Potato; Extra Virgin Olive Oil; Lemon,Grilled chicken and quinoa with broccoli
lunch,tia-clair-toomey,Ground Beef Rice Bowl,tia-clair-toomey__ground-beef-rice-bowl.png,Ground Beef 93% Lean; Jasmine Rice; Broccoli; Bell Pepper; Garlic; Soy Sauce,"Seasoned lean ground beef over fluffy jasmine rice with broccoli and bell pepper — a simple, macro-friendly midday meal that delivers steady energy for afternoon training."
lunch,dwayne-johnson,Ground Bison and Rice Bowl,dwayne-johnson__ground-bison-and-rice-bowl.png,Bison; White Rice; Mushrooms; Garlic; Yellow Onion,Ground bison and rice with mushrooms
lunch,tabitha-brown,Jackfruit and Avocado Wrap,tabitha-brown__jackfruit-and-avocado-wrap.png,Whole Wheat Tortilla; Jackfruit; Avocado; Romaine Lettuce; Tomato; Avocado Oil,"Pan-caramelized shredded jackfruit tucked into a whole wheat tortilla with mashed avocado, romaine lettuce, and sliced tomato."
lunch,megan-thee-stallion,Kale and Avocado Egg Salad Bowl,megan-thee-stallion__kale-and-avocado-egg-salad-bowl.png,Eggs; Avocado; Kale; Lemon; Sea Salt; Black Pepper,"Hard-boiled eggs mashed with ripe avocado and served over a bed of raw or lightly wilted kale — a simple, filling pescatarian-friendly lunch."
lunch,beyonce,Kale Caesar with Chickpea Croutons,beyonce__kale-caesar-with-chickpea-croutons.png,Kale; Chickpeas; Tahini; Lemon; Garlic; Nutritional Yeast,Kale Caesar with crispy chickpea croutons
lunch,tia-clair-toomey,Lean Ground Beef & Rice Bowl with Avocado,tia-clair-toomey__lean-ground-beef-rice-bowl-with-avocado.png,Ground Beef 93% Lean; Jasmine Rice; Avocado; Garlic; Soy Sauce; Sesame Oil,"Seasoned 93% lean ground beef cooked and served over jasmine rice, topped with sliced avocado — a calorie-dense post-workout lunch that rebuilds glycogen and supports muscle repair."
lunch,cameron-diaz,Lemon Herb Quinoa Pasta with Spinach and Chickpeas,cameron-diaz__lemon-herb-quinoa-pasta-with-spinach-and-chickpeas.png,Whole Wheat Pasta; Chickpeas; Spinach; Cherry Tomatoes; Garlic; Extra Virgin Olive Oil,"Whole-grain quinoa pasta tossed with wilted spinach, chickpeas, cherry tomatoes, and a bright lemon-olive oil sauce — a satisfying Mediterranean-style lunch."
lunch,joaquin-phoenix,Lentil and Raw Veggie Bowl,joaquin-phoenix__lentil-and-raw-veggie-bowl.png,Lentils; Spinach; Carrot; Cucumber; Tahini; Lemon,Lentils with raw veggies and tahini
lunch,beyonce,Lentil and Sweet Potato Soup,beyonce__lentil-and-sweet-potato-soup.png,Red Lentils; Sweet Potato; Yellow Onion; Garlic; Ginger; Vegetable Broth,Spiced red lentil and sweet potato soup
lunch,cameron-diaz,Lentil and Tomato Soup with Lemon,cameron-diaz__lentil-and-tomato-soup-with-lemon.png,Lentils; Tomato; Extra Virgin Olive Oil; Garlic; Lemon; Sea Salt,"Red lentils simmered with crushed tomatoes and olive oil until thick and creamy, finished with a generous squeeze of lemon juice to brighten the bowl."
